SH600117,西宁特钢,钢铁,4047057100,741219252,741219252
SH600118,中国卫星,国防军工,36018619000,1182489135,1182489135
SH600119,长江投资,物流,4426560000,307400000,307400000
SH600120,浙江东方,贸易,10038702800,505473454,505473454
SH600121,郑州煤电,煤炭开采,5300092400,1015343370,1015343370
SH600122,宏图高科,零售,22336852000,1150198350,1146473350
SH600123,兰花科创,煤炭开采,9459072000,1142400000,1142400000
SH600125,铁龙物流,公路铁路运输,9582530600,1305521874,1305521874
SH600126,杭钢股份,钢铁,5344039800,838938750,838938750
SH600127,金健米业,农产品加工,3934131100,641783218,544459617
SH600128,弘业股份,贸易,2985886800,246767500,246767500
SH600129,太极集团,中药,6727849400,426894000,426894000
SH600130,波导股份,通信设备,5314560000,768000000,768000000
SH600131,岷江水电,电力,3634742400,504125155,397366932
SH600132,重庆啤酒,饮料制造,6407778700,483971198,483971198
SH600133,东湖高新,综合,6215726300,634257780,537948920
SH600135,乐凯胶片,家用轻工,5695583800,372991740,342000000
SH600136,道博股份,综合,7638339700,164018460,104294000
SH600137,浪莎股份,服装家纺,2519879900,97217588,97217588
SH600138,中青旅,景点及旅游,14491277000,723840000,702718220
SH600139,西部资源,有色冶炼加工,7406554800,661890510,661890510
SH600141,兴发集团,化学制品,5702605600,529981930,465743880
SH600143,金发科技,化工合成材料,16896000000,2560000000,2560000000
SH600146,商赢环球,有色冶炼加工,4566000000,200000000,200000000
SH600148,长春一东,汽车零部件,2558617400,141516450,141516450
SH600149,廊坊发展,房地产开发,4550515200,380160000,380160000
SH600150,中国船舶,国防军工,38421919000,1378117598,1378117598
SH600151,航天机电,电气设备,12814343900,1250179900,1250179900
SH600152,维科精华,纺织制造,2682537000,293494200,293494200
SH600153,建发股份,物流,49077321000,2835200530,2835200530
SH600155,宝硕股份,化工合成材料,7139506400,476602560,412500000
SH600156,华升股份,纺织制造,4523745400,402110702,402110702
SH600157,永泰能源,煤炭开采,45674129000,11194639500,4595654800
SH600158,中体产业,房地产开发,13676950000,843735373,657495392
SH600159,大龙地产,房地产开发,3909315200,830003232,830003232
SH600160,巨化股份,化学制品,28866000000,1810915951,1810915951
SH600161,天坛生物,生物制品,14438227000,515466868,515466868
SH600162,香江控股,房地产开发,9961895200,1596457600,767812620
SH600165,新日恒力,通用设备,10006152000,684883780,484883780
SH600166,福田汽车,汽车整车,18009354000,3335065600,2809671600
SH600167,联美控股,电力,3354900000,211000000,211000000
SH600168,武汉控股,燃气水务,6868634600,709569690,568881090
SH600169,太原重工,专用设备,11683463100,2423955000,2423955000
SH600170,上海建工,建筑装饰,33400864000,5943214200,5755262400
SH600171,上海贝岭,半导体及元件,9271595000,673807773,673807773
SH600172,黄河旋风,通用设备,12860633900,792398880,496678440
SH600173,卧龙地产,房地产开发,5242816100,725147460,725057460
SH600175,美都能源,石油矿业开采,13823852000,2451037500,1448033200
SH600176,中国巨石,化工新材料,23028110000,1105526150,872629500
SH600177,雅戈尔,服装家纺,28500630000,2226611695,2226611695
SH600178,东安动力,汽车零部件,3752089600,462080000,462080000
SH600179,黑化股份,煤炭开采,4680000000,390000000,390000000
SH600180,瑞茂通,物流,16003819000,1017407460,882548890
SH600182,S佳通,化工合成材料,5633800000,340000000,170000000
SH600183,生益科技,半导体及元件,10379139000,1437553900,1437553900
SH600184,光电股份,国防军工,11584484000,508760830,418760830
SH600185,格力地产,房地产开发,9104251000,577680900,577680900
SH600186,莲花味精,食品加工制造,6308424400,1062024311,1062024311
SH600187,国中水务,燃气水务,8136939400,1455624228,1455624228
SH600188,兖州煤业,煤炭开采,43036000000,4918400000,2959980000
SH600189,吉林森工,种植业与林业,2673405000,310500000,310500000
SH600190,锦州港,港口航运,9290632600,2002291500,1338980400
SH600191,华资实业,农产品加工,7026664700,484932000,484932000
SH600192,长城电工,电气设备,3268935200,441748000,441748000
SH600193,创兴资源,石油矿业开采,4172909100,425373000,425373000
SH600195,中牧股份,农业服务,7959896000,429800000,429800000
SH600196,复星医药,生物制品,45587285000,2314075400,1905614700
SH600197,伊力特,饮料制造,4917150000,441000000,441000000
SH600198,大唐电信,通信设备,14563611000,882108470,808648300
SH600199,金种子酒,饮料制造,4485104300,555775002,555775002
SH600200,江苏吴中,综合,18676429000,669646070,522089240
SH600201,生物股份,农业服务,15838746000,572829860,565057060
SH600202,哈空调,电气设备,4412251100,383340672,383340672
SH600203,福日电子,光学光电子,3715342900,380280750,303170790
SH600206,有研新材,半导体及元件,8924601500,838778330,587134240
SH600207,安彩高科,综合,6617100000,690000000,440000000
SH600208,新湖中宝,房地产开发,34760741000,9099670400,8136960400
SH600209,罗顿发展,建筑装饰,4684249200,439011170,422040020
SH600210,紫江企业,包装印刷,8478555100,1516736200,1436736200
SH600211,西藏药业,中药,5299439600,145589000,114109000
SH600212,江泉实业,综合,4323841400,511697213,511697213
SH600213,亚星客车,汽车整车,2072400000,220000000,220000000
SH600215,长春经开,园区开发,3436593000,465032880,465032880
SH600216,浙江医药,化学制药,9707440000,936108000,936103725
SH600218,全柴动力,通用设备,3635924300,368755000,283400000
SH600219,南山铝业,有色冶炼加工,18655513000,2835184400,2835184400
SH600220,江苏阳光,纺织制造,8060698300,1783340326,1783340326
SH600221,海南航空,机场航运,43855854000,12182181790,11812064188
SH600222,太龙药业,中药,3948337600,573886280,496608910
SH600223,鲁商置业,房地产开发,5975779000,1000968000,1000968000
SH600225,天津松江,房地产开发,5753279600,935492620,621497420
SH600226,升华拜克,农业服务,8486118000,1094982970,1094982970
SH600227,赤天化,化学制品,4789978300,950392526,950392526
SH600228,昌九生化,化学制品,2642454000,241320000,241320000
SH600229,城市传媒,传媒,8284732900,702096010,395786210
SH600230,沧州大化,化工新材料,3183116500,294188216,294188216
SH600231,凌钢股份,钢铁,6789152700,1259583070,804002200
SH600232,金鹰股份,纺织制造,3078224500,364718544,364718544
SH600233,大杨创世,服装家纺,4146450000,165000000,165000000
SH600234,山水文化,综合,4119773700,202445880,202445880
SH600235,民丰特纸,造纸,3200343000,351300000,351300000
SH600236,桂冠电力,电力,37592879000,6063367500,1128526820
